,fips,stateabb,sedacountyname,subject,grade,year,variable,gcs_value,student_category,clean_student_category
476,6,CA,Colusa County,mth,3,2012,gcs_mn_all,2.228310050622055,all,All
478,6,CA,Colusa County,mth,3,2013,gcs_mn_all,1.521091154116582,all,All
480,6,CA,Colusa County,mth,3,2015,gcs_mn_all,1.869936196808248,all,All
482,6,CA,Colusa County,mth,3,2016,gcs_mn_all,1.642220989163537,all,All
484,6,CA,Colusa County,mth,3,2017,gcs_mn_all,1.713393406241186,all,All
486,6,CA,Colusa County,mth,3,2018,gcs_mn_all,1.993549957580739,all,All
488,6,CA,Colusa County,mth,4,2009,gcs_mn_all,2.393063963989456,all,All
490,6,CA,Colusa County,mth,4,2010,gcs_mn_all,2.612834816371132,all,All
492,6,CA,Colusa County,mth,4,2011,gcs_mn_all,2.392274513101512,all,All
494,6,CA,Colusa County,mth,4,2012,gcs_mn_all,2.976940500023514,all,All
496,6,CA,Colusa County,mth,4,2013,gcs_mn_all,2.959433491215245,all,All
498,6,CA,Colusa County,mth,4,2015,gcs_mn_all,2.304825580320599,all,All
500,6,CA,Colusa County,mth,4,2016,gcs_mn_all,2.573198221759803,all,All
502,6,CA,Colusa County,mth,4,2017,gcs_mn_all,2.753445771212858,all,All
504,6,CA,Colusa County,mth,4,2018,gcs_mn_all,2.551295605656182,all,All
506,6,CA,Colusa County,mth,5,2009,gcs_mn_all,2.795799534449437,all,All
508,6,CA,Colusa County,mth,5,2010,gcs_mn_all,3.766909510648597,all,All
510,6,CA,Colusa County,mth,5,2011,gcs_mn_all,3.179033311511876,all,All
512,6,CA,Colusa County,mth,5,2012,gcs_mn_all,2.827907414783254,all,All
514,6,CA,Colusa County,mth,5,2013,gcs_mn_all,3.343957344335739,all,All
516,6,CA,Colusa County,mth,5,2015,gcs_mn_all,3.892564849122027,all,All
518,6,CA,Colusa County,mth,5,2016,gcs_mn_all,3.312534579020054,all,All
520,6,CA,Colusa County,mth,5,2017,gcs_mn_all,3.717352018457884,all,All
522,6,CA,Colusa County,mth,5,2018,gcs_mn_all,3.626287854999318,all,All
524,6,CA,Colusa County,mth,6,2009,gcs_mn_all,4.537681358492063,all,All
526,6,CA,Colusa County,mth,6,2010,gcs_mn_all,4.180986953372872,all,All
528,6,CA,Colusa County,mth,6,2011,gcs_mn_all,4.427574734193949,all,All
530,6,CA,Colusa County,mth,6,2012,gcs_mn_all,4.35221244043441,all,All
532,6,CA,Colusa County,mth,6,2013,gcs_mn_all,4.090872673672595,all,All
534,6,CA,Colusa County,mth,6,2015,gcs_mn_all,4.678690455248448,all,All
536,6,CA,Colusa County,mth,6,2016,gcs_mn_all,4.21386979968327,all,All
538,6,CA,Colusa County,mth,6,2017,gcs_mn_all,4.202453396383769,all,All
540,6,CA,Colusa County,mth,6,2018,gcs_mn_all,4.319708193113493,all,All
547,6,CA,Colusa County,mth,7,2015,gcs_mn_all,6.225432219405406,all,All
549,6,CA,Colusa County,mth,7,2016,gcs_mn_all,5.943685809626262,all,All
552,6,CA,Colusa County,mth,7,2018,gcs_mn_all,5.382238168883388,all,All
559,6,CA,Colusa County,mth,8,2015,gcs_mn_all,6.632931130821399,all,All
561,6,CA,Colusa County,mth,8,2016,gcs_mn_all,6.929555676894551,all,All
563,6,CA,Colusa County,mth,8,2017,gcs_mn_all,6.861972938343362,all,All
565,6,CA,Colusa County,mth,8,2018,gcs_mn_all,6.378895975478724,all,All
567,6,CA,Contra Costa County,mth,3,2009,gcs_mn_all,2.630255223504568,all,All
569,6,CA,Contra Costa County,mth,3,2010,gcs_mn_all,2.782888117836655,all,All
571,6,CA,Contra Costa County,mth,3,2011,gcs_mn_all,2.947618659038323,all,All
573,6,CA,Contra Costa County,mth,3,2012,gcs_mn_all,2.913405462866479,all,All
575,6,CA,Contra Costa County,mth,3,2013,gcs_mn_all,2.782835015836675,all,All
577,6,CA,Contra Costa County,mth,3,2015,gcs_mn_all,2.728216182792321,all,All
579,6,CA,Contra Costa County,mth,3,2016,gcs_mn_all,2.596920900211241,all,All
581,6,CA,Contra Costa County,mth,3,2017,gcs_mn_all,2.508349388179487,all,All
583,6,CA,Contra Costa County,mth,3,2018,gcs_mn_all,2.552551986421811,all,All
585,6,CA,Contra Costa County,mth,4,2009,gcs_mn_all,3.584048309841441,all,All
587,6,CA,Contra Costa County,mth,4,2010,gcs_mn_all,3.77760969454528,all,All
589,6,CA,Contra Costa County,mth,4,2011,gcs_mn_all,3.870182010863132,all,All
591,6,CA,Contra Costa County,mth,4,2012,gcs_mn_all,3.896207656053844,all,All
593,6,CA,Contra Costa County,mth,4,2013,gcs_mn_all,3.882052554079205,all,All
595,6,CA,Contra Costa County,mth,4,2015,gcs_mn_all,3.903592119072935,all,All
597,6,CA,Contra Costa County,mth,4,2016,gcs_mn_all,3.79761817948933,all,All
599,6,CA,Contra Costa County,mth,4,2017,gcs_mn_all,3.726745582976791,all,All
601,6,CA,Contra Costa County,mth,4,2018,gcs_mn_all,3.656560820443683,all,All
603,6,CA,Contra Costa County,mth,5,2009,gcs_mn_all,4.524253495344145,all,All
605,6,CA,Contra Costa County,mth,5,2010,gcs_mn_all,4.708671126176885,all,All
607,6,CA,Contra Costa County,mth,5,2011,gcs_mn_all,4.970223437635013,all,All
609,6,CA,Contra Costa County,mth,5,2012,gcs_mn_all,4.955683085375107,all,All
611,6,CA,Contra Costa County,mth,5,2013,gcs_mn_all,4.879028677012656,all,All
613,6,CA,Contra Costa County,mth,5,2015,gcs_mn_all,4.959672372481608,all,All
615,6,CA,Contra Costa County,mth,5,2016,gcs_mn_all,4.916100045169323,all,All
